,BATHROOM,BOOK,DRINK,EAT,FAMILY,GOOD,HELLO,HELP,NAME,NEED,NO,PLEASE,SORRY,THANK_YOU,WANT,WATER,WHAT,WHERE,WHO,YES
BATHROOM,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BOOK,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DRINK,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EAT,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAMILY,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOOD,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HELLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HELP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
NAME,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NEED,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
NO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PLEASE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
SORRY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
THANK_YOU,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
WANT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
WATER,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WHAT,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHERE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
YES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
